date,team_A,team_B,goals_A,goals_B,tournament,city,country,neutral,elo_A,elo_B,elo_diff,label,A_wins_last5,A_draws_last5,A_loss_last5,A_gf_avg_last5,A_ga_avg_last5,A_gd_avg_last5,B_wins_last5,B_draws_last5,B_loss_last5,B_gf_avg_last5,B_ga_avg_last5,B_gd_avg_last5,match_importance
2006-06-03,Malaysia,Singapore,0,0,Friendly,Seremban,Malaysia,False,1162.0,1340.0,-178.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-03,England,Jamaica,6,0,Friendly,Manchester,England,False,1968.0,1611.0,357.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-03,Luxembourg,Portugal,0,3,Friendly,Metz,France,True,980.0,1914.0,-934.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-04,Algeria,Sudan,1,0,Friendly,Algiers,Algeria,False,1415.0,1307.0,108.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-04,Colombia,Morocco,2,0,Friendly,Barcelona,Spain,True,1777.0,1638.0,139.0,0,1.0,3.0,1.0,0.8,1.2,-0.3999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-04,Japan,Malta,1,0,Friendly,Düsseldorf,Germany,True,1789.0,1252.0,537.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-04,Netherlands,Australia,1,1,Friendly,Rotterdam,Netherlands,False,1995.0,1797.0,198.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-05,Ukraine,Libya,3,0,Friendly,Gossau,Switzerland,True,1791.0,1447.0,344.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-07,Australia,Liechtenstein,3,1,Friendly,Ulm,Germany,True,1797.0,1194.0,603.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-07,Spain,Croatia,2,1,Friendly,Geneva,Switzerland,True,1961.0,1847.0,114.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-08,Luxembourg,Ukraine,0,3,Friendly,Luxembourg,Luxembourg,False,980.0,1791.0,-811.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-09,Poland,Ecuador,0,2,FIFA World Cup,Gelsenkirchen,Germany,True,1837.0,1719.0,118.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
